"","x","y","c","z"
"139",6393.11002536377,-740.760245628087,0,0
"140",13535.7159020087,-741.623136296083,12,6
"141",6932.33510823012,-713.690589188564,1,0
"142",4401.29259485924,-732.30905752754,0,0
"143",1122.09252582045,-730.024262054635,13,4
"144",5458.77068245719,-720.283675555934,0,0
"145",10025.1593450837,-756.331350093943,0,0
"146",10403.3346635968,-748.711128165771,8,1
"147",8280.72763918126,-770.226049178125,0,0
"148",9465.48573683617,-750.672868042245,0,0
"149",12132.3937769838,-790.823507518237,3,1
"150",4188.76883379442,-772.733666737604,0,0
"151",11060.3772752968,-778.499717354438,3,1
"152",9881.11054319503,-801.150280617358,0,0
"153",5276.05460233661,-795.443613433055,0,0
"154",8461.27651143791,-771.275285947712,0,0
"155",818.812978418687,-796.302237147513,0,0
"156",7467.52017731581,-806.139305003567,0,0
"157",1440.03291642979,-813.507333712336,13,4
"158",1555.08423682474,-793.448100311115,13,4
"159",4648.33824891909,-791.543545398394,0,0
"160",4754.17181409295,-813.993103448276,0,0
"161",6967.80464987545,-831.035759756435,12,0
"162",11574.5106369137,-817.996291718171,3,1
"163",2837.48737617253,-842.351275532568,1,4
"164",3234.98410578336,-840.07283736254,0,0
"165",7907.47326669275,-831.121020241187,0,0
"166",9231.32137477206,-838.315230317926,0,0
"167",12877.2005459624,-800.546978161503,3,6
"168",11373.0405127394,-842.563749538429,3,1
"169",13055.2150655688,-826.736200060994,12,6
"170",13185.6879583173,-840.053068313392,8,6
"171",4038.05625687497,-828.506154732596,0,0
"172",11875.3281057941,-826.961514008392,3,1
"173",12336.8568548387,-839.004939516129,3,1
"174",5526.63627304434,-844.970540607872,0,0
"175",10719.6233977027,-855.19614616281,3,1
"176",10356.8903061224,-861.684053408598,8,1
"177",3550.54235197368,-843.359022556391,0,0
"178",10953.944621983,-875.461273231856,3,1
"179",8471.8995556966,-874.989156881413,0,0
"180",4976.64938157286,-859.785931609233,0,0
"181",12690.8779859485,-864.853429240549,8,1
"182",11714.546982948,-886.460285132383,8,1
"183",4411.11572035535,-889.540208574739,0,0
"184",13788.8794679443,-881.015192586522,3,6
