coord_x,coord_y,mclust
1195.0259210000002,405.7154616,11
1215.59848,382.1893789,11
1228.152977,363.41043310000003,11
1245.336442,509.70541900000006,11
1301.7335699999999,473.06374450000004,11
1222.165551,349.0846735,6
1243.78428,348.8411228,1
1304.267218,451.0619171,11
1256.254394,342.4289124,12
1326.482344,389.29469789999996,11
1157.296108,420.7334137,11
1158.261663,350.6454883,11
1189.3035439999999,401.9646644,11
1242.309016,462.7676761,11
1270.164934,391.50314510000004,11
1272.067525,423.87643130000004,11
1284.183408,353.294648,12
1283.103001,483.3803772,11
1320.132822,516.9909866,11
1154.0114310000001,671.8826359,11
1153.035357,656.1989199,11
1158.640266,694.2498692,11
1165.2321689999999,612.9208356,11
1169.510246,655.4722538999999,11
1171.168825,591.8675268999999,11
1174.005251,568.2406465,11
1174.924885,577.3114024,11
1172.2220519999998,715.5357683,11
1177.574939,550.8799650000001,11
1181.661503,699.9517944,11
1191.3400060000001,583.1650477999999,11
1190.3962060000001,657.2818784,11
1198.306153,619.4435744,11
1202.157395,635.7375881,11
1211.200291,561.3082681,11
1200.209302,680.8981544,11
1217.768655,541.3218094,11
1226.200916,688.0662715,11
1229.390906,681.1475686000001,11
1230.15526,653.3064933999999,11
1235.7362269999999,684.6766767999999,11
1242.715375,632.9134157999999,11
1243.60172,577.0668282,11
1251.570031,609.1093632999999,11
1252.625026,664.3192554,11
1256.071745,596.2329182999999,11
1276.645691,661.59696,11
1284.6982189999999,631.3221482999999,11
1284.087807,571.2026921,11
1291.652112,602.1445587000001,11
1287.491335,647.9661768999999,11
1299.239903,599.216934,11
1299.784954,654.3461177999999,11
1307.807695,629.3318676,11
1308.686224,674.2883155000001,1
1326.719269,549.8085229,11
1191.7032470000001,609.6331256,11
1259.252433,577.4478766,11
1304.334541,583.2310653,11
1312.201519,701.8477713999999,11
1335.471752,601.0206473999999,1
1178.315716,629.3583225,11
