x_array,y_array,mclust
1418.9484289999998,3549.933204,10
1422.607417,3567.620542,9
1424.7203029999998,3614.4979270000003,3
1423.58135,3521.14627,10
1431.638705,3542.7749340000005,9
1430.629256,3635.178008,10
1433.179967,3604.076889,3
1444.458054,3645.077401,10
1459.540813,3567.124097,10
1469.906045,3639.521392,3
1474.921828,3677.3362060000004,3
1476.817433,3699.8119060000004,3
1475.475211,3520.425637,10
1480.3752060000002,3657.40461,3
1492.698841,3555.301504,10
1324.815366,3697.9908149999997,10
1327.2570269999999,3571.822031,10
1340.624525,3688.8305520000004,9
1369.514719,3682.114901,10
1383.799137,3572.6291539999997,10
1386.658018,3563.509739,10
