X,Y,mclust
5694.12048192771,2097.89156626506,2
4118.24747474747,3008.72222222222,2
5740.28070175439,3203.50877192982,4
3258.76335877863,3231.29007633588,2
5428.49264705882,1800.04411764706,2
2009.04444444444,2206.43333333333,1
3292.5243902439,3024.12195121951,2
2832.84472049689,660.751552795031,2
2679.9175257732,2207.59793814433,2
1601.47972972973,2063.13513513514,1
5556.65853658537,3421.81300813008,3
1781.63333333333,1423.13333333333,2
3445.66847826087,2438.47826086957,2
2740.08720930233,2339.8023255814,2
3926.24621212121,2654.64015151515,2
4946.3956043956,1283.59340659341,2
4941.42857142857,1474.86607142857,1
2495.125,2997.99375,2
3633.18099547511,4330.48416289593,2
4971.52991452991,4466.83760683761,2
3336.9203539823,3022.26548672566,2
3041.24285714286,3195.27142857143,2
4734.82352941176,1046.4064171123,2
2389.31927710843,832.590361445783,2
3214.08287292818,3952.69060773481,2
5187.90666666667,2396.57333333333,2
4823.69672131148,4266.55737704918,1
4617.6095890411,920.582191780822,2
4047.07142857143,3616.32467532468,2
4537.59712230216,1292.67625899281,2
3323.98,4378.3,2
5550.26775956284,2207.77595628415,2
4557.4966442953,480.969798657718,2
3554.96484375,1835.30859375,2
3184.65,3055.355,2
3062.54193548387,1319.82580645161,2
4929.26178010471,1706.21989528796,2
3780.34529147982,4508.12107623318,1
2161.55405405405,1115.45945945946,1
3527.88732394366,1355.76056338028,1
5702.25531914894,2138.15957446808,2
3647.30833333333,1254.36666666667,3
3774.20224719101,1586.38202247191,2
4569.17171717172,1629.69696969697,2
2604.90551181102,2644.45669291339,2
3612.0303030303,3206.17171717172,2
3380.0,3950.41610738255,2
5536.84782608696,2956.72826086957,4
3188.43055555556,4436.61111111111,2
4006.81481481481,4083.77777777778,2
1566.73846153846,2954.46923076923,2
2002.46524064171,1014.55614973262,1
4995.75,3642.72619047619,2
2633.39166666667,4343.56666666667,1
3258.41463414634,2777.34959349594,2
2343.28301886792,864.31320754717,1
4023.6369047619,675.255952380952,1
4671.17333333333,3924.92,1
3468.80184331797,4414.67741935484,1
5279.71739130435,2007.57608695652,2
2525.93396226415,654.0,2
4053.60305343511,3481.09923664122,2
4540.28440366973,4497.01834862385,2
3078.36641221374,3374.34351145038,2
5414.32710280374,1072.23364485981,2
3750.15189873418,4306.51265822785,2
3562.93023255814,1527.7519379845,1
4800.2633744856,1048.18930041152,2
3052.18691588785,2435.58411214953,1
1970.8431372549,4210.62745098039,2
1705.94505494505,1133.65934065934,3
3685.75280898876,1458.86516853933,2
2588.1746031746,937.952380952381,2
